dest_ip,dest_port
57.129.81.201,1080
171.250.221.164,1080
185.139.56.133,4145
91.200.115.49,1080
149.202.94.235,9060
31.129.147.102,1080
110.42.42.64,5555
152.53.171.242,52033
165.140.184.2,39593
75.41.145.46,5678
109.135.16.145,49879
139.59.24.173,1080
104.168.13.108,1080
79.101.45.94,56921
84.17.27.253,9105
181.48.193.42,2580
159.138.157.44,8081
98.152.200.61,8081
143.110.217.153,1080
192.241.156.17,1080
176.88.166.215,1080
14.63.49.131,4145
93.182.26.66,1080
159.65.128.194,1080
81.177.224.173,1337
117.250.3.58,8080
88.87.79.18,3629
91.221.177.40,80
68.183.186.140,1080
112.91.141.121,9001
45.234.77.86,4153
181.143.21.146,4153
95.128.142.76,1080
47.93.12.128,12120
213.197.136.218,5678
187.62.194.174,5678
45.146.130.16,31979
192.95.33.162,1129
138.68.21.132,40467
97.74.233.64,45780
188.128.86.74,1080
111.173.89.109,1080
121.169.46.116,1090
187.94.84.130,4153
181.129.182.138,5678
205.209.113.242,1080
145.239.5.238,39053
51.75.126.150,54612
99.56.147.242,53096
142.93.251.218,1080
31.43.33.56,4153
200.111.158.234,5678
64.226.85.75,1080
125.227.169.85,38157
152.53.168.53,18434
222.59.173.105,44020
194.150.71.227,4153
181.205.46.178,4666
152.53.168.53,65013
93.184.7.73,1080
195.251.162.32,1080
65.108.251.40,49594
104.248.197.67,1080
95.211.19.96,8001
209.38.83.56,1088
64.227.131.240,1080
213.6.68.210,4145
178.70.175.242,1080
51.210.111.216,29733
45.191.13.241,4153
143.110.190.60,1080
43.133.37.149,1080
188.143.169.22,33333
104.248.203.234,1080
