dest_ip,dest_port,metadata_comment
222.66.69.78,23344,proxylist.txt
152.230.215.123,80,proxylist.txt
45.12.30.28,80,proxylist.txt
172.67.180.41,80,proxylist.txt
51.254.78.223,80,proxylist.txt
154.90.48.76,80,proxylist.txt
152.70.137.18,8888,proxylist.txt
188.40.57.101,80,proxylist.txt
211.230.49.122,3128,proxylist.txt
198.98.48.76,31280,proxylist.txt
188.166.197.129,3128,proxylist.txt
192.73.244.36,80,proxylist.txt
84.246.85.52,8888,proxylist.txt
183.215.23.242,9091,proxylist.txt
218.75.224.4,3309,proxylist.txt
139.60.209.2,80,proxylist.txt
32.223.6.94,80,proxylist.txt
61.158.175.38,9002,proxylist.txt
23.247.136.254,80,proxylist.txt
194.219.134.234,80,proxylist.txt
62.99.138.162,80,proxylist.txt
213.33.126.130,80,proxylist.txt
213.143.113.82,80,proxylist.txt
45.12.31.27,80,proxylist.txt
172.64.148.165,80,proxylist.txt
172.67.70.27,80,proxylist.txt
159.112.235.92,80,proxylist.txt
103.21.244.243,80,proxylist.txt
103.166.9.26,8080,proxylist.txt
103.156.74.154,1111,proxylist.txt
103.159.96.84,1080,proxylist.txt
194.152.44.92,80,proxylist.txt
141.193.213.84,80,proxylist.txt
172.67.172.151,80,proxylist.txt
172.67.167.119,80,proxylist.txt
72.211.46.99,4145,proxylist.txt
172.67.176.88,80,proxylist.txt
172.67.167.99,80,proxylist.txt
5.10.244.54,80,proxylist.txt
195.85.23.28,80,proxylist.txt
172.67.170.27,80,proxylist.txt
172.67.70.43,80,proxylist.txt
154.197.75.57,80,proxylist.txt
45.12.31.29,80,proxylist.txt
195.85.23.231,80,proxylist.txt
172.67.176.181,80,proxylist.txt
172.67.176.16,80,proxylist.txt
5.10.247.121,80,proxylist.txt
5.10.247.30,80,proxylist.txt
188.114.96.250,80,proxylist.txt
58.216.109.18,800,proxylist.txt
45.131.208.186,80,proxylist.txt
154.197.75.136,80,proxylist.txt
45.131.210.125,80,proxylist.txt
172.67.173.111,80,proxylist.txt
45.131.208.40,80,proxylist.txt
172.67.177.208,80,proxylist.txt
172.67.177.158,80,proxylist.txt
172.67.176.40,80,proxylist.txt
172.67.180.11,80,proxylist.txt
172.67.180.30,80,proxylist.txt
41.191.203.162,80,proxylist.txt
181.174.164.221,80,proxylist.txt
156.38.112.11,80,proxylist.txt
