dest_ip,dest_port,metadata_comment
208.102.51.6,58208,proxy.txt
69.61.200.104,36181,proxy.txt
174.64.199.82,4145,proxy.txt
192.111.130.5,17002,proxy.txt
192.252.208.70,14282,proxy.txt
192.111.129.145,16894,proxy.txt
192.111.139.163,19404,proxy.txt
72.195.34.35,27360,proxy.txt
98.178.72.21,10919,proxy.txt
184.178.172.25,15291,proxy.txt
184.178.172.18,15280,proxy.txt
184.178.172.5,15303,proxy.txt
72.195.34.41,4145,proxy.txt
70.166.167.38,57728,proxy.txt
174.75.211.193,4145,proxy.txt
72.205.0.67,4145,proxy.txt
198.8.84.3,4145,proxy.txt
67.201.33.10,25283,proxy.txt
118.70.151.55,1080,proxy.txt
102.36.127.231,1080,proxy.txt
121.169.46.116,1090,proxy.txt
132.148.244.30,45157,proxy.txt
31.211.142.115,8192,proxy.txt
203.189.153.170,1080,proxy.txt
102.217.190.157,7080,proxy.txt
5.255.117.127,1080,proxy.txt
5.255.113.177,1080,proxy.txt
5.255.117.250,1080,proxy.txt
149.62.186.244,1080,proxy.txt
5.255.99.75,1080,proxy.txt
23.133.196.12,9000,proxy.txt
160.250.54.4,9000,proxy.txt
119.148.7.10,22122,proxy.txt
103.239.52.100,1080,proxy.txt
102.69.146.59,7080,proxy.txt
202.4.117.136,12321,proxy.txt
152.70.237.238,3128,proxy.txt
103.151.74.5,2025,proxy.txt
212.58.132.5,1080,proxy.txt
193.221.203.192,1080,proxy.txt
45.61.188.134,44499,proxy.txt
5.255.103.55,1080,proxy.txt
152.53.144.223,1080,proxy.txt
125.24.156.113,7080,proxy.txt
158.179.173.238,1080,proxy.txt
111.67.103.90,1080,proxy.txt
103.162.57.42,1080,proxy.txt
217.12.209.4,1080,proxy.txt
103.219.163.246,1080,proxy.txt
193.25.215.182,22222,proxy.txt
23.175.248.21,1080,proxy.txt
171.25.158.95,1080,proxy.txt
154.26.178.63,1080,proxy.txt
134.122.1.61,11679,proxy.txt
5.255.123.162,1080,proxy.txt
138.124.50.251,40000,proxy.txt
43.161.217.219,1080,proxy.txt
43.130.38.45,51029,proxy.txt
182.48.78.141,8008,proxy.txt
82.193.116.160,21003,proxy.txt
45.194.33.12,30001,proxy.txt
