dest_ip,dest_port,metadata_comment
135.87.39.23,443,http
135.87.39.23,80,http
94.253.95.241,3629,socks4
135.87.39.23,9443,http
89.208.232.117,1080,socks5
193.233.218.213,1080,socks5
176.111.37.5,39811,http
176.111.37.216,39811,http
82.114.228.67,1080,http
194.28.162.12,1080,socks5
91.197.79.59,1080,socks5
77.247.178.20,8080,http
165.225.66.38,11203,http
95.211.64.139,8888,http
95.211.64.139,8889,http
95.211.174.135,3128,http
108.181.123.113,3128,http
217.76.39.4,1080,socks5
104.194.148.204,80,http
85.114.138.33,1080,socks4
185.209.29.226,1080,socks5
79.134.4.192,1080,socks5
85.114.138.33,1080,socks5
91.142.75.202,1080,socks4
46.37.123.166,1081,socks5
83.147.216.208,1080,socks5
212.220.113.31,1080,socks5
77.110.102.252,1080,socks5
46.146.220.247,1080,socks5
94.233.120.194,1080,socks5
5.255.117.127,1080,socks5
77.110.103.146,1080,socks5
93.90.231.101,1080,socks5
109.191.114.251,1080,socks5
178.216.223.147,1080,socks5
45.155.226.177,3128,http
5.129.221.28,8080,socks5
37.18.73.60,5566,socks5
95.3.69.222,8080,http
85.174.84.22,1080,socks5
62.90.70.144,7443,http
46.181.54.110,1080,socks4
176.65.140.216,1085,socks5
45.84.13.153,1080,socks5
185.142.156.229,2080,socks4
45.144.53.63,5000,http
195.190.121.154,1080,socks5
185.239.50.122,10808,http
88.156.178.59,1122,http
45.144.53.63,5001,http
91.190.82.38,1080,socks5
148.81.121.5,8080,http
129.226.72.101,18080,http
129.226.127.245,18080,http
138.124.59.186,1080,socks5
64.112.184.210,3128,http
47.253.201.85,7890,http
46.146.216.44,1080,socks5
195.46.183.181,1080,socks5
50.238.47.86,32100,socks4
89.22.229.195,1080,socks5
34.43.46.91,80,http
34.43.46.91,443,http
47.239.213.123,7080,socks5
43.161.253.113,1080,socks5
47.75.116.41,10800,socks5
147.45.169.78,49153,socks5
46.147.177.49,8080,http
202.28.194.139,31280,http
195.19.51.79,1080,socks5
31.168.143.90,1080,socks4
46.17.43.219,7890,http
185.218.139.38,2080,socks4
195.19.50.114,1080,socks5
75.7.109.109,8080,http
103.113.26.7,8080,http
45.230.168.37,999,http
187.152.25.234,999,http
175.100.37.171,1080,socks4
216.126.237.26,1080,socks5
178.130.47.42,1082,socks5
105.214.66.130,5678,socks4
105.214.73.225,5678,socks4
77.247.178.20,1080,socks4
181.39.25.196,8118,http
67.210.146.50,11080,socks5
147.45.225.141,10808,socks5
45.43.63.37,10808,socks5
103.82.20.76,8080,http
171.234.160.79,1081,socks5
151.243.153.157,8118,http
34.87.80.221,30000,http
185.196.61.251,1080,socks5
46.188.2.42,5678,socks4
171.234.160.79,1080,socks4
119.93.94.108,8080,http
113.160.132.26,8080,http
193.25.215.182,22222,socks5
212.77.75.25,1088,socks5
1.231.81.166,3128,http
175.136.239.173,8181,http
31.57.172.220,10809,http
85.132.139.45,4153,socks4
91.142.75.202,1080,socks5
31.76.29.13,8080,http
212.58.132.5,8888,http
43.155.185.73,1080,socks5
171.234.160.79,1080,socks5
95.105.28.76,1080,socks5
125.24.156.113,7080,socks5
159.195.49.27,8888,http
5.255.113.177,1080,socks5
213.210.67.186,3629,socks4
47.81.56.193,8888,http
92.118.234.124,1080,http
45.202.254.8,1080,socks5
43.155.232.123,1080,socks5
101.36.104.239,10808,socks5
110.38.234.74,1080,socks4
212.46.208.183,1080,socks5
8.219.97.248,80,http
5.255.103.55,1080,socks5
157.20.207.129,8083,http
92.118.234.124,1080,socks4
31.57.172.220,10808,socks5
124.41.225.105,1080,socks5
5.95.121.180,4153,socks4
114.111.19.228,3389,http
122.246.4.6,17981,http
43.164.136.189,1080,socks5
174.137.134.182,2999,http
131.222.253.236,8080,http
212.58.132.5,1080,socks5
103.169.188.34,8080,http
115.187.29.25,89,http
123.138.24.112,9443,http
47.82.112.38,1080,socks5
72.255.38.180,1080,socks5
154.113.196.49,5678,socks4
46.146.220.180,1080,socks5
58.254.153.146,17981,http
159.195.49.27,1080,socks5
91.142.75.202,1080,http
115.171.239.89,5080,socks4
122.246.3.210,17981,http
120.232.115.170,17981,http
191.252.219.129,8889,http
27.155.93.29,1080,http
119.188.131.55,17981,http
123.138.24.112,8800,http
31.57.172.220,10808,http
147.45.72.212,44816,socks4
123.58.219.171,10808,socks5
144.124.227.88,3129,socks5
59.38.113.185,20000,socks5
115.231.181.40,8128,http
103.247.22.114,4317,http
58.254.153.147,17981,http
159.195.61.240,1080,socks5
43.164.3.124,1080,socks5
64.118.147.245,20000,http
201.184.165.91,1080,socks5
190.60.60.10,999,http
193.176.244.151,4885,socks4
