metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1763476609.7189,elite,115.31615196112,1720479706.3894,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663242,1765216893.5346,80,http,185.238.228.176:80,False,261.80291175842,96306,2400,97.56853686706,185.238.228.176
True,1763478172.9975,elite,115.88782102569,1742575592.647,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764663802,1765216893.4346,80,http,69.84.182.224:80,False,184.14521217346,98879,3253,96.81490619982,69.84.182.224
True,1764743972.3574,elite,154.39966094693,1764743972.3574,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,San Francisco,North America,,United States,US,South Beach,True,"Cloudflare, Inc.",37.7803,-122.39,False,Level 3,False,California,success,America/Los_Angeles,94107,1764743973,1765216893.2563,80,http,8.35.211.13:80,False,172.94454574585,3108,0,100.0,8.35.211.13
True,1763483307.5549,elite,115.73110692767,1742492650.9269,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,True,New York,success,America/New_York,10013,1764664122,1765216893.1462,80,http,216.205.52.111:80,False,260.16330718994,95819,960,99.008049266886,216.205.52.111
True,1765192417.5165,elite,142.15611175302,1761067192.4329,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764696803,1765216892.9139,80,http,69.84.182.135:80,False,81.577062606812,29491,94,99.682271421328,69.84.182.135
True,1763477009.4369,elite,116.45493226363,1742522786.4264,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,True,Florida,success,America/New_York,33487,1764663494,1765216892.7515,80,http,69.84.182.171:80,False,259.05394554138,98485,3223,96.831124395328,69.84.182.171
True,1764950994.6531,elite,147.54336657682,1764741353.1734,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1764741353,1765216892.7206,80,http,108.162.193.145:80,False,85.119724273682,3119,1,99.967948717949,108.162.193.145
True,1764743894.7611,elite,150.45115399488,1764743894.7611,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",False,California,success,America/Los_Angeles,95113,1764743895,1765216892.2265,80,http,170.114.45.4:80,False,115.60678482056,2992,0,100.0,170.114.45.4
True,1765208627.8723,elite,161.02417010181,1765208627.8723,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1765208629,1765216892.0811,80,http,141.101.113.127:80,False,35.970687866211,53,0,100.0,141.101.113.127
True,1763476644.6012,elite,143.15549166659,1761068172.7384,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764698025,1765216891.9134,80,http,102.177.176.100:80,False,39.069890975952,27366,596,97.868535870109,102.177.176.100
True,1763476497.3752,elite,115.68950358693,1742395566.5471,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,San Jose,North America,,United States,US,Ballbach and SOFA,True,"Cloudflare London, LLC",37.3329,-121.895,False,"Zoom Video Communications, Inc",True,California,success,America/Los_Angeles,95113,1764663619,1765216891.9041,80,http,170.114.45.168:80,False,52.206039428711,95175,1094,98.8636009515,170.114.45.168
True,1764950509.7923,elite,115.68882697706,1720479037.3765,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,True,England,success,Europe/London,W1B,1764663744,1765216891.8516,80,http,185.238.228.100:80,False,73.772668838501,96155,2402,97.562831660866,185.238.228.100
True,1763476582.5647,elite,122.71362650631,1754413341.0816,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764696742,1765216891.8263,80,http,102.177.176.190:80,False,101.08470916748,70124,1265,98.22801832215,102.177.176.190
True,1765087520.644,elite,115.64659710238,1742343156.2612,AS201839 Zaymer PJSC,ZAYMER2-AS,Novosibirsk,Europe,EU,Russia,RU,,False,MFC Zaymer LLC,55.0386,82.9425,False,Zaymer PJSC,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1764663424,1765216891.7237,80,http,45.67.215.199:80,False,26.671648025513,96205,1066,98.904092689496,45.67.215.199
True,1763482461.5077,elite,127.35378717853,1756299782.3444,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,True,Hesse,success,Europe/Berlin,60313,1764768227,1765216891.6209,80,http,102.177.176.174:80,False,95.505952835083,57245,1277,97.817914630395,102.177.176.174
