alive,alive_since,anonymity,average_timeout,first_seen,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update
true,1772917296.6715,elite,9619.0319881138,1736891494.696,1772917296.6715,8081,socks4,252.206.251.113:8081,true,829.59032058716,253,65985,0.38195597693167,252.206.251.113,,,,,,,,,,,,,,,,,,,,
true,1772917294.122,elite,963.27046390395,1697000863.6481,1772917294.122,4145,socks4,72.37.217.3:4145,true,888.28325271606,178073,772136,18.740403427036,72.37.217.3,"AS46562 Performive LLC",PERFORMIVE,Syracuse,"North America",NA,"United States",US,,true,PacketExchange,43.0481,-76.0639,false,"I Am Responding",true,"New York",success,America/New_York,13214,1772842477
true,1772917277.5588,elite,1237.7502928293,1748223293.7284,1772917293.6692,80,http,160.251.142.232:80,false,752.67195701599,143552,114747,55.575902345731,160.251.142.232,"AS58791 GMO Internet Group, Inc.",APNIC-ASBLOCK-58580,"Chiyoda City",Asia,AS,Japan,JP,,true,"GMO Internet, Inc",35.6916,139.768,false,"GMO Internet Group, Inc.",true,Tokyo,success,Asia/Tokyo,100-8111,1772527099
true,1772917293.6353,elite,6180.5589032852,1736609533.0558,1772917293.6353,8989,http,91.218.244.153:8989,false,150.16579627991,29350,378225,7.2011286266331,91.218.244.153,"AS50867 HOSTKEY B.V.",ORG-LVA15-AS,Moscow,Europe,EU,Russia,RU,,false,"Hostkey B.V.",55.7487,37.6187,false,"LLC ""Server v arendy""",true,Moscow,success,Europe/Moscow,109507,1772804730
true,1772917293.4574,anonymous,2868.420360574,1764154431.725,1772917293.4574,8091,http,183.110.216.128:8091,false,1335.2661132812,59280,77076,43.474434568336,183.110.216.128,"AS4766 Korea Telecom",KIXS-AS-KR,Seongnam-si,Asia,AS,"South Korea",KR,Buljeong-ro,false,"Korea Telecom",37.3654,127.122,false,Kornet,true,Gyeonggi-do,success,Asia/Seoul,13606,1772623267
true,1772917220.8752,elite,539.37151522007,1772865089.5005,1772917292.6464,3128,http,107.172.125.217:3128,false,335.47878265381,106,1543,6.4281382656155,107.172.125.217,"AS36352 HostPapa",AS-COLOCROSSING,"Los Angeles","North America",NA,"United States",US,,true,HostPapa,34.0544,-118.244,false,"VPS ACE",false,California,success,America/Los_Angeles,90060,1772866842
true,1772917291.8517,elite,1789.1307274957,1765237770.9673,1772917291.8517,8382,http,219.249.37.107:8382,false,1007.3008537292,45301,84030,35.027178325382,219.249.37.107,"AS9318 SK Broadband Co Ltd",SKB-AS,Miryang,Asia,AS,"South Korea",KR,,false,"SK Broadband Co Ltd",35.4899,128.7504,false,broadNnet,true,Gyeongsangnam-do,success,Asia/Seoul,504,1772496106
true,1772917291.5701,transparent,5312.1649252471,1755666504.427,1772917291.5701,1111,http,101.255.211.41:1111,false,3525.8440971375,13990,165402,7.7985640385301,101.255.211.41,"AS38511 PT Remala Abadi",TACHYON-AS-ID,Bekasi,Asia,AS,Indonesia,ID,,false,"PT Remala Abadi",-6.2244,106.9726,false,,true,"West Java",success,Asia/Jakarta,17135,1772619819
true,1772917290.9532,anonymous,2853.5975798561,1763825673.3115,1772917290.9532,8090,http,183.110.216.159:8090,false,1269.5610523224,60525,78055,43.675133496897,183.110.216.159,"AS4766 Korea Telecom",KIXS-AS-KR,Seongnam-si,Asia,AS,"South Korea",KR,Buljeong-ro,false,"Korea Telecom",37.3654,127.122,false,Kornet,true,Gyeonggi-do,success,Asia/Seoul,13606,1772899500
true,1772893597.7513,elite,321.86822586492,1765048869.2658,1772917290.9216,80,http,172.200.72.48:80,false,239.8157119751,126185,3869,97.025081889061,172.200.72.48,"AS8075 Microsoft Corporation",MICROSOFT-CORP-MSN-AS-BLOCK,Boydton,"North America",NA,"United States",US,,true,Microsoft,36.677696,-78.37471,false,"Microsoft Azure Cloud (eastus2)",true,Virginia,success,America/New_York,23917,1772912455
