dest_ip,metadata_comment
5.101.111.0/24,AS14061
188.166.144.0/20,AS14061
178.62.0.0/16,ASN not found
167.172.16.0/20,AS14061
178.128.192.0/20,AS14061
141.0.171.0/24,AS46652
5.101.104.0/22,AS14061
188.166.192.0/22,AS14061
167.172.64.0/20,AS14061
2a03:b0c0:1::/48,AS14061
139.59.16.0/20,AS14061
167.172.176.0/20,AS14061
178.128.224.0/20,AS14061
5.101.96.0/20,ASN not found
2a03:b0c0:2::/48,AS14061
141.0.172.0/22,AS46652
141.0.174.0/24,AS46652
139.59.96.0/20,AS14061
188.166.168.0/21,AS14061
178.128.176.0/20,AS14061
2400:6180::/48,AS14061
167.172.4.0/22,AS14061
129.212.129.0/24,ASN not found
178.128.160.0/20,AS14061
139.59.80.0/20,AS14061
139.59.0.0/20,AS14061
178.62.64.0/18,AS14061
185.14.184.0/22,AS14061
5.101.96.0/21,AS14061
128.199.0.0/20,AS14061
167.172.240.0/20,AS14061
167.172.80.0/20,AS14061
46.101.80.0/20,AS14061
139.59.48.0/22,AS14061
188.166.204.0/22,AS14061
46.101.68.0/22,AS14061
167.172.192.0/20,AS14061
188.166.136.0/22,AS14061
178.128.64.0/20,AS14061
188.166.176.0/20,AS14061
139.59.112.0/20,AS14061
46.101.96.0/19,AS14061
178.128.132.0/22,AS14061
188.166.160.0/21,AS14061
139.59.200.0/22,AS14061
128.199.32.0/19,AS14061
139.59.208.0/21,AS14061
188.166.132.0/22,AS14061
188.166.240.0/20,AS14061
178.128.0.0/20,AS14061
178.128.128.0/17,ASN not found
139.59.176.0/20,AS14061
139.59.204.0/22,AS14061
128.199.64.0/18,AS14061
5.42.203.0/24,ASN not found
139.59.19.0/24,AS14061
46.101.0.0/18,AS14061
178.128.208.0/20,AS14061
188.166.196.0/22,AS14061
139.59.224.0/20,AS14061
167.172.48.0/20,AS14061
167.172.160.0/20,AS14061
139.59.64.0/20,AS14061
146.185.160.0/19,ASN not found
167.172.96.0/20,AS14061
188.166.140.0/22,AS14061
46.101.128.0/17,AS14061
139.59.216.0/22,AS14061
178.62.192.0/18,AS14061
178.128.136.0/22,AS14061
46.101.0.0/16,ASN not found
178.128.96.0/20,AS14061
2a03:b0c0:3::/48,AS14061
188.166.224.0/20,AS14061
178.128.16.0/20,AS14061
2a12:1840::/29,ASN not found
128.199.0.0/16,ASN not found
188.166.0.0/18,AS14061
146.185.128.0/19,AS14061
167.172.208.0/20,AS14061
139.59.160.0/20,AS14061
139.59.196.0/22,AS14061
129.212.128.0/24,ASN not found
46.101.64.0/22,AS14061
178.128.0.0/17,ASN not found
188.166.64.0/18,AS14061
167.172.224.0/20,AS14061
188.166.200.0/22,AS14061
141.0.169.0/24,AS14061
188.166.208.0/20,AS14061
167.172.128.0/20,AS14061
2a03:b0c0::/48,AS14061
188.166.128.0/22,AS14061
167.172.32.0/20,AS14061
188.226.128.0/17,AS14061
144.126.192.0/18,ASN not found
128.199.192.0/18,AS14061
2a03:b0c0:ffff::/48,AS14061
139.59.56.0/21,AS14061
167.172.8.0/22,AS14061
146.185.160.0/20,AS14061
178.128.140.0/22,AS14061
194.5.86.0/24,ASN not found
46.101.72.0/21,AS14061
141.0.170.0/24,AS14061
139.59.32.0/20,AS14061
128.199.16.0/20,AS14061
37.139.0.0/19,AS14061
188.166.0.0/16,ASN not found
178.62.0.0/18,AS14061
5.101.109.0/24,AS14061
167.172.112.0/20,AS14061
139.59.52.0/22,AS14061
167.172.0.0/22,AS14061
139.59.220.0/22,AS14061
139.59.192.0/22,AS14061
167.172.144.0/20,AS14061
5.101.108.0/24,AS14061
139.59.128.0/19,AS14061
5.101.110.0/24,AS14061
95.85.0.0/18,AS14061
178.128.80.0/20,AS14061
178.128.240.0/20,AS14061
82.196.0.0/20,AS14061
178.128.128.0/22,AS14061
2400:6180:100::/40,AS14061
178.128.112.0/20,AS14061
178.128.144.0/20,AS14061
178.128.48.0/20,AS14061
167.172.0.0/16,ASN not found
80.240.128.0/20,AS14061
178.128.32.0/20,AS14061
2a03:b0c0::/32,ASN not found
141.0.168.0/24,AS46652
128.199.128.0/18,AS14061
2a03:b0c0:fffc::/48,AS14061
178.62.128.0/18,AS14061
