dest_nt_domain,dest_port,dest_ip
gh-acc.prod.surfshark.com,1194,102.218.100.115
ee-tll.prod.surfshark.com,1194,185.174.159.105
pl-waw.prod.surfshark.com,1443,45.128.38.131
us-bna.prod.surfshark.com,1194,82.26.162.43
au-syd.prod.surfshark.com,1443,149.88.101.12
hr-zag.prod.surfshark.com,1194,149.102.247.137
at-vie.prod.surfshark.com,1194,89.187.168.41
ge-tbs.prod.surfshark.com,1194,83.97.115.18
kz-ura.prod.surfshark.com,1443,217.9.250.85
fr-mrs.prod.surfshark.com,1443,103.93.42.21
mc-mcm.prod.surfshark.com,1443,62.197.151.20
us-sfo.prod.surfshark.com,1443,93.152.210.211
ua-iev.prod.surfshark.com,1443,143.244.46.105
us-bos.prod.surfshark.com,1443,43.225.189.76
ng-lag.prod.surfshark.com,1443,79.127.149.39
de-fra.prod.surfshark.com,1443,89.117.104.27
it-mil.prod.surfshark.com,1443,212.102.54.132
sk-bts.prod.surfshark.com,1194,146.70.114.181
th-bkk.prod.surfshark.com,1194,103.176.152.34
us-den.prod.surfshark.com,1443,212.102.44.113
mo-mfm.prod.surfshark.com,1443,62.197.154.39
fr-par.prod.surfshark.com,1443,143.244.57.87
am-evn.prod.surfshark.com,1194,92.62.120.133
ca-van.prod.surfshark.com,1194,216.246.31.62
us-nyc.prod.surfshark.com,1194,146.70.186.163
es-bcn.prod.surfshark.com,1194,185.188.61.50
kz-ura.prod.surfshark.com,1194,217.9.250.101
dk-cph.prod.surfshark.com,1443,185.236.203.13
it-mil.prod.surfshark.com,1194,212.102.54.132
us-chi.prod.surfshark.com,1443,138.199.42.171
vn-hcm.prod.surfshark.com,1443,83.97.112.22
bd-dac.prod.surfshark.com,1194,62.197.153.39
us-phx.prod.surfshark.com,1443,45.86.211.66
sg-sng.prod.surfshark.com,1443,146.70.192.181
dz-alg.prod.surfshark.com,1194,62.197.144.36
tw-tai.prod.surfshark.com,1194,45.144.227.28
us-buf.prod.surfshark.com,1443,192.227.215.34
us-atl.prod.surfshark.com,1194,195.181.171.233
bd-dac.prod.surfshark.com,1443,62.197.153.39
us-slc.prod.surfshark.com,1194,93.152.220.247
uk-edi.prod.surfshark.com,1194,194.88.103.125
gr-ath.prod.surfshark.com,1443,79.127.181.178
md-chi.prod.surfshark.com,1443,217.9.245.99
au-adl.prod.surfshark.com,1194,103.214.20.187
uz-tas.prod.surfshark.com,1443,94.154.124.83
au-syd.prod.surfshark.com,1194,95.173.193.9
mk-skp.prod.surfshark.com,1194,217.9.244.101
th-bkk.prod.surfshark.com,1443,103.176.152.34
us-lax.prod.surfshark.com,1194,185.193.157.160
rs-beg.prod.surfshark.com,1443,37.120.193.227
rs-beg.prod.surfshark.com,1194,37.120.193.227
us-buf.prod.surfshark.com,1194,172.93.148.189
us-bdn.prod.surfshark.com,1443,66.235.168.195
lt-vno.prod.surfshark.com,1194,62.197.149.112
my-kul.prod.surfshark.com,1194,185.196.0.18
de-ber.prod.surfshark.com,1194,86.38.98.21
lk-cmb.prod.surfshark.com,1194,62.197.156.18
mo-mfm.prod.surfshark.com,1194,62.197.154.39
au-bne.prod.surfshark.com,1194,144.48.39.133
ba-sjj.prod.surfshark.com,1194,23.27.109.35
bz-blp.prod.surfshark.com,1443,212.119.33.34
nz-akl.prod.surfshark.com,1194,62.93.164.243
ca-mon.prod.surfshark.com,1194,84.20.16.172
ca-van.prod.surfshark.com,1443,216.246.31.62
bs-nas.prod.surfshark.com,1194,62.197.145.18
nl-ams.prod.surfshark.com,1194,143.244.42.89
se-sto.prod.surfshark.com,1194,130.195.218.203
se-sto.prod.surfshark.com,1443,185.76.9.51
ve-car.prod.surfshark.com,1443,45.149.3.18
us-sea.prod.surfshark.com,1194,149.102.254.18
mn-uln.prod.surfshark.com,1194,62.197.155.69
be-bru.prod.surfshark.com,1443,194.110.115.141
ca-tor.prod.surfshark.com,1194,149.88.98.28
us-mia.prod.surfshark.com,1194,149.102.224.204
us-sea.prod.surfshark.com,1443,138.199.12.52
in-mum.prod.surfshark.com,1194,176.227.240.56
pe-lim.prod.surfshark.com,1194,95.173.223.113
tw-tai.prod.surfshark.com,1443,45.144.227.28
mx-qro.prod.surfshark.com,1194,149.88.22.23
la-vte.prod.surfshark.com,1443,194.169.168.19
ee-tll.prod.surfshark.com,1443,185.174.159.113
me-tgd.prod.surfshark.com,1194,62.197.159.36
ua-iev.prod.surfshark.com,1194,143.244.46.105
au-per.prod.surfshark.com,1194,82.23.0.8
tr-ist.prod.surfshark.com,1443,87.249.139.183
ar-bua.prod.surfshark.com,1194,89.117.41.69
al-tia.prod.surfshark.com,1194,217.9.247.20
bt-pbh.prod.surfshark.com,1194,62.197.157.44
no-osl.prod.surfshark.com,1443,79.127.150.132
us-atl.prod.surfshark.com,1443,195.181.171.236
kr-seo.prod.surfshark.com,1194,93.152.212.61
ae-dub.prod.surfshark.com,1443,217.138.193.251
pa-pac.prod.surfshark.com,1194,185.244.139.83
si-lju.prod.surfshark.com,1443,195.158.249.19
at-vie.prod.surfshark.com,1443,87.249.133.66
us-ash.prod.surfshark.com,1194,149.102.227.110
ae-dub.prod.surfshark.com,1194,217.138.193.251
cl-san.prod.surfshark.com,1443,149.88.104.136
pr-sju.prod.surfshark.com,1443,45.139.253.2
za-jnb.prod.surfshark.com,1443,154.47.30.108
kh-pnh.prod.surfshark.com,1443,62.197.146.24
lk-cmb.prod.surfshark.com,1443,62.197.156.20
us-hou.prod.surfshark.com,1443,149.40.56.24
au-mel.prod.surfshark.com,1194,144.48.38.21
fi-hel.prod.surfshark.com,1194,193.56.113.68
uk-edi.prod.surfshark.com,1443,194.88.103.125
pt-opo.prod.surfshark.com,1194,103.192.205.60
uk-gla.prod.surfshark.com,1194,188.240.58.55
in-del.prod.surfshark.com,1443,92.62.121.131
mn-uln.prod.surfshark.com,1443,62.197.155.69
is-rkv.prod.surfshark.com,1194,45.139.252.22
be-bru.prod.surfshark.com,1194,194.110.115.141
bg-sof.prod.surfshark.com,1443,185.9.16.101
jp-tok.prod.surfshark.com,1194,193.148.16.53
li-qvu.prod.surfshark.com,1443,62.197.150.51
be-anr.prod.surfshark.com,1443,103.109.244.94
dk-cph.prod.surfshark.com,1194,185.236.203.13
li-qvu.prod.surfshark.com,1194,62.197.150.51
al-tia.prod.surfshark.com,1443,217.9.247.181
uk-gla.prod.surfshark.com,1443,185.108.105.240
hk-hkg.prod.surfshark.com,1194,118.99.2.22
py-asu.prod.surfshark.com,1443,194.26.131.20
md-chi.prod.surfshark.com,1194,217.9.245.101
es-mad.prod.surfshark.com,1194,89.37.95.15
es-mad.prod.surfshark.com,1443,89.37.95.11
pl-waw.prod.surfshark.com,1194,138.199.17.130
au-bne.prod.surfshark.com,1443,86.38.102.15
es-vlc.prod.surfshark.com,1194,193.19.207.102
de-ber.prod.surfshark.com,1443,89.36.76.99
il-tlv.prod.surfshark.com,1443,169.150.227.142
ie-dub.prod.surfshark.com,1443,149.34.242.59
us-bna.prod.surfshark.com,1443,82.26.162.43
fr-bod.prod.surfshark.com,1443,45.134.79.153
bn-bwn.prod.surfshark.com,1194,62.197.158.44
mm-nyt.prod.surfshark.com,1443,45.95.242.44
pr-sju.prod.surfshark.com,1194,45.139.253.2
ng-lag.prod.surfshark.com,1194,79.127.149.49
us-dal.prod.surfshark.com,1194,2.56.189.184
np-ktm.prod.surfshark.com,1443,194.169.170.39
id-jak.prod.surfshark.com,1194,93.185.162.141
au-mel.prod.surfshark.com,1443,82.21.109.7
eg-cai.prod.surfshark.com,1443,62.197.147.67
lv-rig.prod.surfshark.com,1443,80.246.31.98
dz-alg.prod.surfshark.com,1443,62.197.144.18
nl-ams.prod.surfshark.com,1443,185.212.171.117
uk-man.prod.surfshark.com,1194,91.90.121.211
mx-qro.prod.surfshark.com,1443,149.88.22.76
us-hou.prod.surfshark.com,1194,149.40.56.24
uk-lon.prod.surfshark.com,1443,141.98.100.27
im-iom.prod.surfshark.com,1443,62.197.148.85
eg-cai.prod.surfshark.com,1194,62.197.147.51
ma-rab.prod.surfshark.com,1194,23.27.214.36
us-den.prod.surfshark.com,1194,212.102.44.113
cz-prg.prod.surfshark.com,1443,185.242.6.53
np-ktm.prod.surfshark.com,1194,194.169.170.39
py-asu.prod.surfshark.com,1194,194.26.131.36
im-iom.prod.surfshark.com,1194,62.197.148.67
pl-gdn.prod.surfshark.com,1194,37.28.156.13
tr-ist.prod.surfshark.com,1194,87.249.139.183
pl-gdn.prod.surfshark.com,1443,37.28.156.235
au-per.prod.surfshark.com,1443,82.23.0.8
bo-sre.prod.surfshark.com,1443,194.169.171.50
uy-mvd.prod.surfshark.com,1443,212.119.32.20
gl-goh.prod.surfshark.com,1194,92.62.123.85
uk-lon.prod.surfshark.com,1194,138.199.29.147
jp-tok.prod.surfshark.com,1443,193.148.16.53
no-osl.prod.surfshark.com,1194,185.253.97.109
cr-sjn.prod.surfshark.com,1443,176.227.241.68
us-nyc.prod.surfshark.com,1443,146.70.186.163
us-kan.prod.surfshark.com,1194,74.80.182.79
ch-zur.prod.surfshark.com,1194,84.17.53.219
gr-ath.prod.surfshark.com,1194,79.127.181.178
ro-buc.prod.surfshark.com,1194,185.102.217.194
de-fra.prod.surfshark.com,1194,89.117.104.27
mt-mla.prod.surfshark.com,1194,193.228.56.139
ro-buc.prod.surfshark.com,1443,217.148.143.195
hu-bud.prod.surfshark.com,1194,146.70.120.29
hk-hkg.prod.surfshark.com,1443,118.99.2.22
bn-bwn.prod.surfshark.com,1443,62.197.158.46
us-mia.prod.surfshark.com,1443,149.102.224.204
fr-mrs.prod.surfshark.com,1194,103.93.42.21
id-jak.prod.surfshark.com,1443,93.185.162.137
us-lax.prod.surfshark.com,1443,185.193.157.188
co-bog.prod.surfshark.com,1194,149.88.111.135
si-lju.prod.surfshark.com,1194,195.158.249.29
fr-par.prod.surfshark.com,1194,82.102.18.123
us-dal.prod.surfshark.com,1443,169.150.254.66
cy-nic.prod.surfshark.com,1443,193.19.204.76
us-chi.prod.surfshark.com,1194,138.199.42.171
co-bog.prod.surfshark.com,1443,149.88.111.135
sg-sng.prod.surfshark.com,1194,151.240.33.28
lu-ste.prod.surfshark.com,1194,185.153.151.176
us-sjc.prod.surfshark.com,1194,156.146.54.201
me-tgd.prod.surfshark.com,1443,62.197.159.18
mc-mcm.prod.surfshark.com,1194,62.197.151.36
be-anr.prod.surfshark.com,1194,103.109.244.94
gl-goh.prod.surfshark.com,1443,92.62.123.85
us-kan.prod.surfshark.com,1443,74.80.182.97
us-clt.prod.surfshark.com,1443,198.37.111.133
az-bak.prod.surfshark.com,1194,23.27.110.37
bz-blp.prod.surfshark.com,1194,212.119.33.34
pa-pac.prod.surfshark.com,1443,185.244.139.83
sa-ruh.prod.surfshark.com,1443,45.150.5.20
us-las.prod.surfshark.com,1194,79.110.54.93
pt-lis.prod.surfshark.com,1443,185.92.210.135
lu-ste.prod.surfshark.com,1443,185.153.151.176
hr-zag.prod.surfshark.com,1443,149.102.247.137
la-vte.prod.surfshark.com,1194,194.169.168.17
